year,team_name,team_code,performance,source,ccs,ccs_source_years,prior_windows,team_code_rank,fifa_rank,fifa_points,ranking_official_date,rank_bucket
2026,Argentina,ARG,not yet known,FIFA API teamsqualified/season/285023,1,2018;2022,2018;2022,ARG,1.0,1877.27,2026-06-11,Top 5
2026,Spain,ESP,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022,ESP,2.0,1874.71,2026-06-11,Top 5
2026,France,FRA,not yet known,FIFA API teamsqualified/season/285023,1,2018;2022,2018;2022,FRA,3.0,1870.7,2026-06-11,Top 5
2026,England,ENG,not yet known,FIFA API teamsqualified/season/285023,1,2018;2022,2018;2022,ENG,4.0,1828.02,2026-06-11,Top 5
2026,Portugal,POR,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022,POR,5.0,1767.85,2026-06-11,Top 5
2026,Brazil,BRA,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022,BRA,6.0,1765.86,2026-06-11,6-10
2026,Morocco,MAR,not yet known,FIFA API teamsqualified/season/285023,1,2022,2018;2022,MAR,7.0,1755.1,2026-06-11,6-10
2026,Netherlands,NED,not yet known,FIFA API teamsqualified/season/285023,1,2022,2018;2022,NED,8.0,1753.57,2026-06-11,6-10
2026,Belgium,BEL,not yet known,FIFA API teamsqualified/season/285023,1,2018,2018;2022,BEL,9.0,1742.24,2026-06-11,6-10
2026,Germany,GER,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022,GER,10.0,1735.77,2026-06-11,6-10
2026,Croatia,CRO,not yet known,FIFA API teamsqualified/season/285023,1,2018;2022,2018;2022,CRO,11.0,1714.87,2026-06-11,11-15
2026,Colombia,COL,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022,COL,13.0,1698.35,2026-06-11,11-15
2026,Mexico,MEX,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022,MEX,14.0,1687.48,2026-06-11,11-15
2026,Senegal,SEN,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022,SEN,15.0,1684.07,2026-06-11,11-15
2026,Uruguay,URU,not yet known,FIFA API teamsqualified/season/285023,1,2018,2018;2022,URU,16.0,1673.07,2026-06-11,16-25
2026,USA,USA,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022,USA,17.0,1671.23,2026-06-11,16-25
2026,Japan,JPN,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022,JPN,18.0,1661.58,2026-06-11,16-25
2026,Switzerland,SUI,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022,SUI,19.0,1650.06,2026-06-11,16-25
2026,Iran,IRN,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022,IRN,20.0,1619.58,2026-06-11,16-25
2026,Turkey,TUR,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022,TUR,22.0,1605.73,2026-06-11,16-25
2026,Ecuador,ECU,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022,ECU,23.0,1598.52,2026-06-11,16-25
2026,Austria,AUT,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022,AUT,24.0,1597.4,2026-06-11,16-25
2026,South Korea,KOR,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022,KOR,25.0,1591.63,2026-06-11,16-25
2026,Australia,AUS,not yet known,FIFA API teamsqualified/season/285023,1,2022,2018;2022,AUS,27.0,1579.34,2026-06-11,26+
2026,Algeria,ALG,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022,ALG,28.0,1571.03,2026-06-11,26+
2026,Egypt,EGY,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022,EGY,29.0,1562.37,2026-06-11,26+
2026,Canada,CAN,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022,CAN,30.0,1559.48,2026-06-11,26+
2026,Norway,NOR,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022,NOR,31.0,1557.44,2026-06-11,26+
2026,Ivory Coast,CIV,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022,CIV,33.0,1540.87,2026-06-11,26+
2026,Panama,PAN,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022,PAN,34.0,1539.16,2026-06-11,26+
2026,Sweden,SWE,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022,SWE,38.0,1509.79,2026-06-11,26+
2026,Czech Republic,CZE,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022,CZE,40.0,1505.74,2026-06-11,26+
2026,Paraguay,PAR,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022,PAR,41.0,1505.35,2026-06-11,26+
2026,Scotland,SCO,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022,SCO,42.0,1503.34,2026-06-11,26+
2026,Tunisia,TUN,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022,TUN,45.0,1476.41,2026-06-11,26+
2026,DR Congo,COD,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022,COD,46.0,1474.43,2026-06-11,26+
2026,Uzbekistan,UZB,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022,UZB,50.0,1458.73,2026-06-11,26+
2026,Qatar,QAT,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022,QAT,56.0,1450.31,2026-06-11,26+
2026,Iraq,IRQ,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022,IRQ,57.0,1446.28,2026-06-11,26+
2026,South Africa,RSA,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022,RSA,60.0,1428.38,2026-06-11,26+
2026,Saudi Arabia,KSA,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022,KSA,61.0,1423.88,2026-06-11,26+
2026,Jordan,JOR,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022,JOR,63.0,1387.74,2026-06-11,26+
2026,Bosnia and Herzegovina,BIH,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022,BIH,64.0,1387.22,2026-06-11,26+
2026,Cabo Verde,CPV,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022,CPV,67.0,1371.11,2026-06-11,26+
2026,Ghana,GHA,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022,GHA,73.0,1346.88,2026-06-11,26+
2026,Curaçao,CUW,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022,CUW,82.0,1294.77,2026-06-11,26+
2026,Haiti,HAI,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022,HAI,83.0,1293.1,2026-06-11,26+
2026,New Zealand,NZL,not yet known,FIFA API teamsqualified/season/285023,0,,2018;2022,NZL,85.0,1275.58,2026-06-11,26+
