year,champion,participants,ccs_candidates,ccs_share,random_hit_probability,champ_ccs,evaluable,prior_windows,champion_prior_ccs_sources
1930,Uruguay,13,0,0.0,0.0,0,0,,
1934,Italy,16,2,0.125,0.125,0,0,1930,
1938,Italy,15,5,0.3333333333333333,0.3333333333333333,1,1,1930;1934,1934
1954,Germany,16,8,0.5,0.5,1,1,1934;1938,1934
1958,Brazil,16,7,0.4375,0.4375,1,1,1938;1954,1938;1954
1962,Brazil,16,6,0.375,0.375,1,1,1954;1958,1954;1958
1966,England,16,7,0.4375,0.4375,1,1,1958;1962,1962
1970,Brazil,16,6,0.375,0.375,1,1,1962;1966,1962
1974,Germany,16,5,0.3125,0.3125,1,1,1966;1970,1966;1970
1978,Argentina,16,6,0.375,0.375,0,1,1970;1974,
1982,Italy,24,2,0.08333333333333333,0.08333333333333333,0,1,1974;1978,
1986,Argentina,24,5,0.20833333333333334,0.20833333333333334,1,1,1978;1982,1978
1990,Germany,24,6,0.25,0.25,1,1,1982;1986,1982;1986
1994,Brazil,24,8,0.3333333333333333,0.3333333333333333,1,1,1986;1990,1990
1998,France,32,11,0.34375,0.34375,0,1,1990;1994,
2002,Brazil,32,10,0.3125,0.3125,1,1,1994;1998,1994;1998
2006,Italy,32,10,0.3125,0.3125,1,1,1998;2002,1998
2010,Spain,32,11,0.34375,0.34375,1,1,2002;2006,2006
2014,Germany,32,9,0.28125,0.28125,1,1,2006;2010,2006;2010
2018,France,32,9,0.28125,0.28125,1,1,2010;2014,2014
2022,Argentina,32,11,0.34375,0.34375,1,1,2014;2018,2014;2018
